Day,Lab Test,Confirmed case,Death Case
2021-May-24,17683,1441,25
2021-May-25,16624,1675,40
2021-May-26,16434,1497,17
2021-May-27,15915,1292,22
2021-May-28,14606,1358,31
2021-May-29,13184,1043,38
2021-May-30,14277,1444,34
2021-May-31,18178,1710,36
2021-June-01,18250,1765,41
2021-June-02,20259,1988,34
2021-June-03,16972,1687,30
2021-June-04,18151,1887,34
2021-June-05,13115,1447,43
2021-June-06,15613,1676,38
2021-June-07,17169,1970,30
2021-June-08,19165,2322,44
2021-June-09,20584,2537,36
2021-June-10,19447,2576,40
2021-June-11,18535,2454,43
2021-June-12,11590,1637,39
2021-June-13,18749,2436,47
2021-June-14,20602,3050,54
2021-June-15,23265,3319,50
2021-June-16,23807,3956,60
2021-June-17,24871,3840,63
2021-June-18,20882,3883,54
2021-June-19,16964,3057,67
2021-June-20,22231,3641,82
2021-June-21,24057,4636,78
2021-June-22,25028,4846,76
2021-June-23,28256,5727,85
2021-June-24,30391,6058,81
2021-June-25,27653,5869,108
2021-June-26,19262,4334,77
2021-June-27,24400,5268,119
2021-June-28,35059,8364,104
2021-June-29,31982,7666,112
2021-June-30,35105,8822,115
2021-July-01,32055,8301,143
2021-July-02,30012,8483,132
2021-July-03,22687,6214,134
2021-July-04,29879,8661,153
2021-July-05,34002,9964,164
2021-July-06,36631,11525,163
2021-July-07,35639,11162,201
2021-July-08,36850,11651,199
2021-July-09,36586,11324,212
2021-July-10,27884,8772,185
2021-July-11,40015,11874,230
2021-July-12,44067,13768,220
2021-July-13,41755,12198,203
2021-July-14,42490,12383,210
2021-July-15,44941,12236,226
2021-July-16,41947,12148,187
2021-July-17,29214,8489,204
2021-July-18,39806,11578,225
2021-July-19,45012,13321,231
2021-July-20,39510,11579,200
2021-July-21,24979,7614,173
2021-July-22,11486,3697,187
2021-July-23,20493,6364,166
2021-July-24,20827,6780,195
2021-July-25,37587,11291,228
2021-July-26,50952,15192,247
2021-July-27,52478,14925,258
2021-July-28,53877,16230,237
2021-July-29,52282,15271,239
2021-July-30,45044,13862,212
2021-July-31,30980,9369,218
2021-August-01,49529,14844,231
2021-August-02,53462,15989,246
2021-August-03,55284,15776,235
2021-August-04,49514,13817,241
2021-August-05,46995,12744,264
2021-August-06,48015,12606,248
2021-August-07,31714,8136,261
2021-August-08,42003,10299,241
2021-August-09,47207,11463,245
2021-August-10,47424,11164,264
2021-August-11,44430,10420,237
2021-August-12,45078,10126,215
2021-August-13,40641,8465,197
2021-August-14,33330,6885,178
2021-August-15,33001,6684,187
2021-August-16,33015,6959,174
2021-August-17,39278,7535,198
2021-August-18,41014,7248,172
2021-August-19,37226,6566,159
2021-August-20,34892,5993,145
2021-August-21,23882,3991,120
2021-August-22,31689,4804,139
2021-August-23,36789,5717,117
2021-August-24,34708,5249,114
2021-August-25,33640,4966,114
2021-August-26,34111,4698,102
2021-August-27,27578,3525,117
2021-August-28,25129,3436,80
2021-August-29,27921,3948,89
2021-August-30,30855,3724,94
2021-August-31,28097,3357,86
2021-September-01,30294,3062,79
2021-September-02,33025,3436,88
2021-September-03,29438,3167,70
2021-September-04,17750,1743,61
2021-September-05,25163,2430,70
2021-September-06,27595,2710,65
2021-September-07,27233,2639,56
2021-September-08,27528,2497,52
2021-September-09,29541,2588,58
2021-September-10,26878,2325,38
2021-September-11,18869,1327,48
2021-September-12,25074,1871,51
2021-September-13,25388,1953,41
2021-September-14,31724,2074,35
2021-September-15,28615,1901,51
2021-September-16,31149,1862,51
2021-September-17,29756,1907,38
2021-September-18,19668,1190,35
2021-September-19,24623,1383,43
2021-September-20,27431,1555,26
2021-September-21,33327,1562,26
2021-September-22,28736,1376,36
2021-September-23,24820,1144,24
2021-September-24,27141,1233,31
2021-September-25,17818,818,25
2021-September-26,22221,980,21
2021-September-27,27787,1212,25
2021-September-28,29186,1310,31
2021-September-29,28599,1178,17
2021-September-30,26569,860,23
2021-October-01,24670,847,21
2021-October-02,17283,589,24
2021-October-03,21246,617,18
2021-October-04,24928,794,18
2021-October-05,25499,694,23
2021-October-06,24376,703,21
2021-October-07,22321,663,12
2021-October-08,23302,645,7
2021-October-09,16925,415,20
2021-October-10,20355,481,14
2021-October-11,23193,599,11
2021-October-12,23155,543,14
2021-October-13,22153,518,17
2021-October-14,21568,466,7
2021-October-15,18980,396,9
2021-October-16,15580,293,6
2021-October-17,18097,314,16
2021-October-18,18812,339,10
2021-October-19,21308,469,7
2021-October-20,20393,368,6
2021-October-21,16088,243,10
2021-October-22,17100,232,4
2021-October-23,15042,278,9
2021-October-24,18485,275,9
2021-October-25,20773,289,5
2021-October-26,19184,276,6
2021-October-27,19951,306,7
2021-October-28,19535,294,6
2021-October-29,17811,305,7
2021-October-30,13240,166,8
2021-October-31,17226,211,6
2021-November-01,19734,214,2
